PK_CLASS_ID	CLASSIFICATOR	CLASS_NAME	NEW
1	NULL	Legal Instrument	1
25	15.10	Environment	1
2	15.10.10	General provisions and programmes	1
3	15.10.20	Pollution and nuisances	1
4	15.10.20.10	Nuclear safety and radioactive waste	1
5	15.10.20.20	Water protection and management	1
6	15.10.20.30	Monitoring of atmospheric pollution	1
7	15.10.20.40	Prevention of noise pollution	1
8	15.10.20.50	Chemicals, industrial risk and biotechnology	1
9	15.10.30	Space, environment and natural resources	1
10	15.10.30.10	Management and efficient use of space, the environment and natural resources	1
11	15.10.30.20	Conservation of wild fauna and flora	1
12	15.10.30.30	Waste management and clean technology	1
13	15.10.40	International cooperation	1
14	15	Environment, consumers and health protection	1
15	NULL	Conventions	1
29	13	Industrial policy and internal market	1
28	03.50.20	Plant health	1
20	NULL		1
27	03.50	Approximation of laws and health measures	1
23	NULL	Other legislation	1
26	03	Agriculture	1
30	13.30	Internal market: approximation of laws	1
31	13.30.18	Dangerous substances	1
32	15.40	Protection of animals	1
33	15.07	Statistics	1
